Departemen_id;Departemen_Name;Division_id;Division_name;Direktorat_id;Direktorat_name
10000;PRODUCTION TIRE PLANT B&H DEPARTMENT;30000;MOTOR CYCLE PLANT;50000;MANUFACTURING DIRECTORATE
10001;PRODUCTION TIRE PLANT I DEPARTMENT;30000;MOTOR CYCLE PLANT;50000;MANUFACTURING DIRECTORATE
10002;PRODUCTION TUBE DEPARTMENT;30000;MOTOR CYCLE PLANT;50000;MANUFACTURING DIRECTORATE
10003;PRODUCTION PLANING CONTROL (PPC) DEPARTMENT;30000;MOTOR CYCLE PLANT;50000;MANUFACTURING DIRECTORATE
10004;QUALITY CONTROL & FINAL INSPECTION DEPARTMENT;30000;MOTOR CYCLE PLANT;50000;MANUFACTURING DIRECTORATE
10005;TECHNICAL DEPARTMENT;30000;MOTOR CYCLE PLANT;50000;MANUFACTURING DIRECTORATE
10006;K3L & MANAGEMENT SUPPORT DEPARTMENT;30000;MOTOR CYCLE PLANT;50000;MANUFACTURING DIRECTORATE
10007;MATERIAL PRODUCTION DEPARTMENT;30001;TRUCK BIAS RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10008;BUILDING CURING DEPARTMENT;30001;TRUCK BIAS RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10009;PRODUCTION PLANING CONTROL (PPC) DEPARTMENT;30001;TRUCK BIAS RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10010;TECHNICAL DEPARTMENT;30001;TRUCK BIAS RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10011;K3L & MANAGEMENT SUPPORT DEPARTMENT;30001;TRUCK BIAS RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10012;PRODUCTION COMPOUND MCG DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10013;PRODUCTION COMPOUND MCA & MCI DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10014;PRODUCTION COMPOUND MCD & FLAP DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10015;PRODUCTION PLANING CONTROL (PPC) DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10016;QUALITY CONTROL DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10017;TECHNICAL DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10018;K3L & MANAGEMENT SUPPORT DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10019;EFFICIENCY DEPARTMENT;30002;MIXING PLANT;50000;MANUFACTURING DIRECTORATE
10020;MATERIAL (HOT) PRODUCTION DEPARTMENT;30003;PASSENGER CAR RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10021;MATERIAL (COLD) PRODUCTION DEPARTMENT;30003;PASSENGER CAR RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10022;BUILDING DEPARTMENT;30003;PASSENGER CAR RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10023;CURING DEPARTMENT;30003;PASSENGER CAR RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10024;PRODUCTION PLANING CONTROL (PPC) DEPARTMENT;30003;PASSENGER CAR RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10025;INDUSTRIAL ENGINEERING, K3L & MANAGEMENT SUPPORT DEPARTMENT;30003;PASSENGER CAR RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10026;QUALITY CONTROL & FINAL INSPECTION DEPARTMENT;30003;PASSENGER CAR RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
10027;PRODUCTION BIAS TIRE DEPARTMENT;30004;BIAS PLANT;50000;MANUFACTURING DIRECTORATE
10028;PRODUCTION BIAS TUBE DEPARTMENT;30004;BIAS PLANT;50000;MANUFACTURING DIRECTORATE
10029;PRODUCTION PLANING CONTROL (PPC) TIRE DEPARTMENT;30004;BIAS PLANT;50000;MANUFACTURING DIRECTORATE
10030;PRODUCTION PLANING CONTROL (PPC) TUBE DEPARTMENT;30004;BIAS PLANT;50000;MANUFACTURING DIRECTORATE
10031;QUALITY CONTROL & FINAL INSPECTION DEPARTMENT;30004;BIAS PLANT;50000;MANUFACTURING DIRECTORATE
10032;TECHNICAL DEPARTMENT;30004;BIAS PLANT;50000;MANUFACTURING DIRECTORATE
10033;K3L & MANAGEMENT SUPPORT DEPARTMENT;30004;BIAS PLANT;50000;MANUFACTURING DIRECTORATE
10034;POLICY COMPLIANCE & HO SHARED SERVICE DEPARTMENT;30006;HUMAN RESOURCES DIVISION;50001;HR & GA DIRECTORATE
10035;STRATEGIC TALENT ACQUISTION & TALENT MANAGEMENT DEPARTMENT;30006;HUMAN RESOURCES DIVISION;50001;HR & GA DIRECTORATE
10036;ORGANIZATION DEVELOPMENT & HR INFORMATION SYSTEM DEPARTMENT;30006;HUMAN RESOURCES DIVISION;50001;HR & GA DIRECTORATE
10037;LEARNING & DEVELOPMENT DEPARTMENT;30006;HUMAN RESOURCES DIVISION;50001;HR & GA DIRECTORATE
10038;HR OPERATIONAL (FACTORY) DEPARTMENT;30006;HUMAN RESOURCES DIVISION;50001;HR & GA DIRECTORATE
10039;HR OPERATIONAL (HEAD OFFICE) DEPARTMENT;30006;HUMAN RESOURCES DIVISION;50001;HR & GA DIRECTORATE
10040;PAYROLL SERVICES DEPARTMENT;30006;HUMAN RESOURCES DIVISION;50001;HR & GA DIRECTORATE
10041;GENERAL AFFAIRS & GENERAL SERVICE DEPARTMENT;30007;GENERAL AFFAIR DIVISION;50001;HR & GA DIRECTORATE
10042;SECURITY DEPARTMENT;30007;GENERAL AFFAIR DIVISION;50001;HR & GA DIRECTORATE
10043;VEHICLE POOL DEPARTMENT;30007;GENERAL AFFAIR DIVISION;50001;HR & GA DIRECTORATE
10044;HEALTH DEPARTMENT;30008;HSE, CSR & ESTATE MANAGEMENT DIVISION;50001;HR & GA DIRECTORATE
10045;SAFETY & ENVIRONMENT DEPARTMENT;30008;HSE, CSR & ESTATE MANAGEMENT DIVISION;50001;HR & GA DIRECTORATE
10046;ESTATE MANAGEMENT DEPARTMENT;30008;HSE, CSR & ESTATE MANAGEMENT DIVISION;50001;HR & GA DIRECTORATE
10047;LOCAL EXPEDITION DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10048;K3L & MANAGEMENT SUPPORT DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10049;OPERATIONAL WARREHOUSE & PPC CENTRAL DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10050;PRODUCT WAREHOUSE BIAS DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10051;PRODUCT WAREHOUSE MC TIRE & TUBE DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10052;PRODUCT WAREHOUSE TRUCK BUS RADIAL DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10053;PRODUCT WAREHOUSE RADIAL DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10054;SUPPLY CHAIN MANAGEMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10055;SUPPLIER QA & CHEMICAL LAB DEPARTMENT;30010;QUALITY ASSURANCE DIVISION;50002;NON DIRECTORATE
10056;PRODUCT ASSURANCE & PROCESS INSPECTION PLANT AC & D DEPARTMENT;30010;QUALITY ASSURANCE DIVISION;50002;NON DIRECTORATE
10057;PRODUCT ASSURANCE & PROCESS INSPECTION PLANT BHI DEPARTMENT;30010;QUALITY ASSURANCE DIVISION;50002;NON DIRECTORATE
10058;QMS & TECHNICAL SERVICE OEM DEPARTMENT;30010;QUALITY ASSURANCE DIVISION;50002;NON DIRECTORATE
10059;PRODUCT QUALITY GUARANTEE TBR DEPARTMENT;30010;QUALITY ASSURANCE DIVISION;50002;NON DIRECTORATE
10060;FINAL INSPECTION TBR DEPARTMENT;30010;QUALITY ASSURANCE DIVISION;50002;NON DIRECTORATE
10061;MATERIAL COMPOUND RESEARCH & DEVELOPMENT DEPARTMENT;30011;RESEARCH & DEVELOPMENT DIVISION;50002;NON DIRECTORATE
10062;TIRE TESTING DEPARTMENT;30011;RESEARCH & DEVELOPMENT DIVISION;50002;NON DIRECTORATE
10063;PROVING GROUND DEPARTMENT;30011;RESEARCH & DEVELOPMENT DIVISION;50002;NON DIRECTORATE
10064;TIRE DEVELOPMENT OE/RT DEPARTMENT;30011;RESEARCH & DEVELOPMENT DIVISION;50002;NON DIRECTORATE
10065;RESEARCH & SIMULATION DEPARTMENT;30011;RESEARCH & DEVELOPMENT DIVISION;50002;NON DIRECTORATE
10066;TECHNICAL PASSENGER CAR RADIAL DEPARTMENT;30011;RESEARCH & DEVELOPMENT DIVISION;50002;NON DIRECTORATE
10067;STRATEGY & CAPACITY PLANNING DEPARTMENT;30011;RESEARCH & DEVELOPMENT DIVISION;50002;NON DIRECTORATE
10068;STRATEGY MANAGEMENT;30012;STRATEGIC MANAGEMENT OFFICE DIVISION;50002;NON DIRECTORATE
10069;EFFICIENCY PROJECT 1 DEPARTMENT;30012;STRATEGIC MANAGEMENT OFFICE DIVISION;50002;NON DIRECTORATE
10070;EFFICIENCY PROJECT 2 DEPARTMENT;30012;STRATEGIC MANAGEMENT OFFICE DIVISION;50002;NON DIRECTORATE
10071;MAINTENANCE CENTRAL PLANT DK DEPARTMENT;30013;ENGINEERING 1 DIVISION;50003;ENGINEERING DIRECTORATE
10072;MAINTENANCE CENTRAL PLANT M DEPARTMENT;30013;ENGINEERING 1 DIVISION;50003;ENGINEERING DIRECTORATE
10073;MAINTENANCE CENTRAL & DAILY PLANT R DEPARTMENT;30013;ENGINEERING 1 DIVISION;50003;ENGINEERING DIRECTORATE
10074;MAINTENANCE DAILY PLANT DK DEPARTMENT;30013;ENGINEERING 1 DIVISION;50003;ENGINEERING DIRECTORATE
10075;MAINTENANCE DAILY PLANT M DEPARTMENT;30013;ENGINEERING 1 DIVISION;50003;ENGINEERING DIRECTORATE
10076;INSTRUMENT & TROUBLE SHOOTING PLANT DK DEPARTMENT;30013;ENGINEERING 1 DIVISION;50003;ENGINEERING DIRECTORATE
10077;INSTALLATION DEPARTMENT;30014;ENGINEERING 2 DIVISION;50003;ENGINEERING DIRECTORATE
10078;CIVIL WORK DEPARTMENT;30014;ENGINEERING 2 DIVISION;50003;ENGINEERING DIRECTORATE
10079;WORKSHOP FORKLIFT & VEHICLE DEPARTMENT;30014;ENGINEERING 2 DIVISION;50003;ENGINEERING DIRECTORATE
10080;MAINTENANCE CENTRAL PLANT A DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10081;MAINTENANCE DAILY PLANT A DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10082;MAINTENANCE DAILY PLANT BCHI & CENTRAL PLANT BI DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10083;MAINTENANCE CENTAL PLANT CH DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10084;WORKSHOP DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10085;SYSTEM & K3L DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10086;UTILITY MAINTENANCE DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10087;UTILITY OPERATION DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10088;JEM DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10089;SPAREPART WAREHOUSE DEPARTMENT;30015;ENGINEERING 3 DIVISION;50003;ENGINEERING DIRECTORATE
10090;COLLECTION DEPARTMENT;30016;FINANCE & SAD DIVISION;50004;FINANCE DIRECTORATE
10091;PAYMENT DEPARTMENT;30016;FINANCE & SAD DIVISION;50004;FINANCE DIRECTORATE
10092;TREASURY DEPARTMENT;30016;FINANCE & SAD DIVISION;50004;FINANCE DIRECTORATE
10093;ACCOUNTING DEPARTMENT;30017;ACCOUNTING & TAX DIVISION;50004;FINANCE DIRECTORATE
10094;TAX DEPARTMENT;30017;ACCOUNTING & TAX DIVISION;50004;FINANCE DIRECTORATE
10095;SOP DEPARTMENT;30017;ACCOUNTING & TAX DIVISION;50004;FINANCE DIRECTORATE
10096;COSTING DEPARTMENT;30017;ACCOUNTING & TAX DIVISION;50004;FINANCE DIRECTORATE
10097;FP & A DEPARTMENT;30018;CORPORATE FINANCE DIVISION;50004;FINANCE DIRECTORATE
10098;CORPORATE SECRETARY DEPARTMENT;30018;CORPORATE FINANCE DIVISION;50004;FINANCE DIRECTORATE
10099;IT OPERATION HO DEPARTMENT;30019;INFORMATION TECHNOLOGY DIVISION;50004;FINANCE DIRECTORATE
10100;IT SPECIAL PROJECT;30019;INFORMATION TECHNOLOGY DIVISION;50004;FINANCE DIRECTORATE
10101;IT OPERATION FACTORY DEPARTMENT;30019;INFORMATION TECHNOLOGY DIVISION;50004;FINANCE DIRECTORATE
10102;LEGAL DEPARTMENT;-;-;50004;FINANCE DIRECTORATE
10103;BUSINESS SUPPORT DEPARTMENT;30020;AM-DOMESTIC SALES REPLACEMENT DIVISION;50005;SALES & MARKERTING DIRECTORATE
10104;SALES COMMERCIAL TIRES DEPARTMENT;30020;AM-DOMESTIC SALES REPLACEMENT DIVISION;50005;SALES & MARKERTING DIRECTORATE
10105;SALES RETAIL DEPARTMENT;30020;AM-DOMESTIC SALES REPLACEMENT DIVISION;50005;SALES & MARKERTING DIRECTORATE
10106;SALES PCR TIRES;30020;AM-DOMESTIC SALES REPLACEMENT DIVISION;50005;SALES & MARKERTING DIRECTORATE
10107;SALES WEST REGION & IRC DEPARTMENT;30021;DOMESTIC DISTRIBUTOR SALES MC DIVISION;50005;SALES & MARKERTING DIRECTORATE
10108;OEM PCR DOMESTIC SALES DEPARTMENT;30022;OEM SALES DIVISION;50005;SALES & MARKERTING DIRECTORATE
10109;OEM COMMERCIAL, MC DOMESTIC & EXPORT SALES DEPARTMENT;30022;OEM SALES DIVISION;50005;SALES & MARKERTING DIRECTORATE
10110;DIGITAL MARKETING SPECIALIST;30024;MARKETING DIVISION;50005;SALES & MARKERTING DIRECTORATE
10111;BRAND MANAGEMENT DEPARTMENT;30024;MARKETING DIVISION;50005;SALES & MARKERTING DIRECTORATE
10112;SPECIAL PROJECT SPECIALIST;30024;MARKETING DIVISION;50005;SALES & MARKERTING DIRECTORATE
10113;PRODUCT MARKETING DEPARTMENT;30024;MARKETING DIVISION;50005;SALES & MARKERTING DIRECTORATE
10114;SHIPPING DEPARTMENT;30009;LOGISTIC DIVISION;50002;NON DIRECTORATE
10115;ADMIN & DINAS LUAR 1 DEPARTMENT;30025;GENERAL AFFAIR HEAD OFFICE DIVISION;50001;HR & GA DIRECTORATE
10116;ADMIN & DINAS LUAR 2 DEPARTMENT;30025;GENERAL AFFAIR HEAD OFFICE DIVISION;50001;HR & GA DIRECTORATE
10117;MEREK & PATEN DEPARTMENT;30025;GENERAL AFFAIR HEAD OFFICE DIVISION;50001;HR & GA DIRECTORATE
10118;GENERAL SERVICES HEAD OFFICE DEPARTMENT;30025;GENERAL AFFAIR HEAD OFFICE DIVISION;50001;HR & GA DIRECTORATE
10119;RAW MATERIAL DEPARTMENT;30026;RAW MATERIAL, PROMOTION & EXPEDITION DIVISION;50006;PROCUREMENT DIRECTOTARE
10120;MACHINERY, ELECTRICAL, MECHANICAL, VEHICLE & STATIONARY DEPARTMENT;-;-;50006;PROCUREMENT DIRECTOTARE
10121;INTERNAL AUDIT;-;-;50002;NON DIRECTORATE
-;-;30005;MOTOR CYCLE RADIAL PLANT;50000;MANUFACTURING DIRECTORATE
-;-;30023;EXPORT SALES;50005;SALES & MARKERTING DIRECTORATE
